Row ID;Order Date;Ship Date;Ship Mode;Customer Name;Segment;Country;City;State;Postal Code;Region;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
56;6/17/2016;6/18/2016;First Class;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;Office Supplies;Storage;Home/Office Personal File Carts;208.56;6;0;52.14
57;6/17/2016;6/18/2016;First Class;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;Office Supplies;Paper;Xerox 232;32.4;5;0;15.552
58;6/17/2016;6/18/2016;First Class;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;Furniture;Chairs;Novimex Turbo Task Chair;319.41;5;0.1;7.098
59;6/17/2016;6/18/2016;First Class;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;Office Supplies;Paper;Array Parchment Paper, Assorted Colors;14.56;2;0;69.888
60;6/17/2016;6/18/2016;First Class;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;30;2;0;3.3
61;6/17/2016;6/18/2016;First Class;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;Office Supplies;Binders;Plastic Binding Combs;48.48;4;0.2;16.362
62;6/17/2016;6/18/2016;First Class;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;Office Supplies;Art;Prang Dustless Chalk Sticks;1.68;1;0;0.84
63;11/24/2015;11/30/2015;Standard Class;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;13.98;2;0;61.512
64;11/24/2015;11/30/2015;Standard Class;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;Office Supplies;Binders;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";25.824;6;0.2;93.612
65;11/24/2015;11/30/2015;Standard Class;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;Office Supplies;Paper;Xerox 1943;146.73;3;0;689.631
66;11/24/2015;11/30/2015;Standard Class;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;Furniture;Furnishings;Luxo Economy Swing Arm Lamp;79.76;4;0;223.328
67;4/30/2015;5/5/2015;Standard Class;Paul Stevenson;Home Office;United States;Chicago;Illinois;60610;Central;Furniture;Chairs;Global Value Mid-Back Manager's Chair, Gray;213.115;5;0.3;-152.225
68;12/5/2014;12/10/2014;Standard Class;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;Office Supplies;Art;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1.113.024;8;0.2;1.113.024
69;12/5/2014;12/10/2014;Standard Class;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;Technology;Phones;netTALK DUO VoIP Telephone Service;167.968;4;0.2;62.988
70;6/4/2016;6/6/2016;First Class;Karen Daniels;Consumer;United States;Springfield;Virginia;22153;South;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;75.88;2;0;356.636
71;9/18/2016;9/23/2016;Standard Class;Henry MacAllister;Consumer;United States;New York City;New York;10009;East;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;4.616;1;0.2;1.731
72;9/14/2017;9/17/2017;Second Class;Tracy Blumstein;Consumer;United States;Jackson;Michigan;49201;Central;Office Supplies;Paper;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";19.05;3;0;8.763
73;4/26/2015;5/2/2015;Standard Class;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;Furniture;Chairs;High-Back Leather Manager's Chair;831.936;8;0.2;-1.143.912
74;4/26/2015;5/2/2015;Standard Class;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;Furniture;Furnishings;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";97.04;2;0.2;1.213
75;4/26/2015;5/2/2015;Standard Class;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;Office Supplies;Storage;Safco Industrial Wire Shelving System;72.784;1;0.2;-18.196
76;12/9/2017;12/11/2017;First Class;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;Office Supplies;Binders;Economy Binders;1.248;3;0.8;-19.344
77;12/9/2017;12/11/2017;First Class;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;Furniture;Furnishings;"6"" Cubicle Wall Clock, Black";9.708;3;0.6;-58.248
78;12/9/2017;12/11/2017;First Class;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;27.24;3;0.2;2.724
79;11/26/2014;12/1/2014;Second Class;Joel Eaton;Consumer;United States;Houston;Texas;77070;Central;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19.3;5;0.6;-14.475
80;6/12/2016;6/15/2016;First Class;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";208.16;1;0;562.032
81;6/12/2016;6/15/2016;First Class;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;Office Supplies;Binders;Avery Heavy-Duty EZD  Binder With Locking Rings;16.74;3;0;80.352
82;10/12/2014;10/16/2014;Standard Class;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;14.9;5;0;4.172
83;10/12/2014;10/16/2014;Standard Class;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;Office Supplies;Storage;Sortfiler Multipurpose Personal File Organizer, Black;21.39;1;0;62.031
84;9/3/2015;9/8/2015;Standard Class;Julie Creighton;Corporate;United States;Durham;North Carolina;27707;South;Office Supplies;Envelopes;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;200.984;7;0.2;628.075
85;11/13/2017;11/16/2017;First Class;Christopher Schild;Home Office;United States;Chicago;Illinois;60623;Central;Office Supplies;Storage;Safco Industrial Wire Shelving;230.376;3;0.2;-489.549
86;5/28/2017;5/30/2017;Second Class;Patrick O'Donnell;Consumer;United States;Columbia;South Carolina;29203;South;Furniture;Chairs;Novimex Swivel Fabric Task Chair;301.96;2;0;332.156
87;10/26/2017;11/2/2017;Standard Class;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;Technology;Accessories;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;19.99;1;0;67.966
88;10/26/2017;11/2/2017;Standard Class;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;Office Supplies;Labels;Avery 511;6.16;2;0;29.568
89;4/5/2016;4/10/2016;Second Class;Gary Mitchum;Home Office;United States;Houston;Texas;77095;Central;Office Supplies;Storage;Eldon Portable Mobile Manager;158.368;7;0.2;138.572
90;9/17/2016;9/22/2016;Standard Class;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;20.1;3;0;6.633
91;9/17/2016;9/22/2016;Standard Class;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;Technology;Phones;Panasonic Kx-TS550;73.584;2;0.2;82.782
92;9/17/2016;9/22/2016;Standard Class;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;Office Supplies;Paper;Xerox 1995;6.48;1;0;31.104
93;1/31/2015;2/5/2015;Second Class;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;Office Supplies;Paper;Xerox 1999;12.96;2;0;62.208
94;1/31/2015;2/5/2015;Second Class;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;Furniture;Furnishings;"Seth Thomas 13 1/2"" Wall Clock";53.34;3;0;165.354
95;1/31/2015;2/5/2015;Second Class;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;Office Supplies;Binders;Ibico Standard Transparent Covers;32.96;2;0;161.504
96;11/6/2017;11/12/2017;Standard Class;Roger Barcio;Home Office;United States;Portland;Oregon;97206;West;Office Supplies;Binders;Flexible Leather- Look Classic Collection Ring Binder;5.682;1;0.7;-3.788
97;11/9/2017;11/11/2017;Second Class;Parhena Norris;Home Office;United States;New York City;New York;10009;East;Furniture;Furnishings;9-3/4 Diameter Round Wall Clock;96.53;7;0;405.426
98;6/17/2017;6/20/2017;First Class;Katherine Ducich;Consumer;United States;San Francisco;California;94122;West;Office Supplies;Binders;Trimflex Flexible Post Binders;51.312;3;0.2;179.592
99;9/6/2016;9/11/2016;Standard Class;Elpida Rittenbach;Corporate;United States;Saint Paul;Minnesota;55106;Central;Office Supplies;Appliances;Fellowes Basic Home/Office Series Surge Protectors;77.88;6;0;225.852
100;8/29/2016;9/2/2016;Standard Class;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;Office Supplies;Paper;Avery Personal Creations Heavyweight Cards;64.624;7;0.2;226.184
101;8/29/2016;9/2/2016;Standard Class;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;Technology;Accessories;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;95.976;3;0.2;-107.973
102;8/29/2016;9/2/2016;Standard Class;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;Office Supplies;Binders;Avery Hidden Tab Dividers for Binding Systems;1.788;3;0.8;-30.396
103;12/1/2016;12/4/2016;Second Class;Gary Zandusky;Consumer;United States;Rochester;Minnesota;55901;Central;Office Supplies;Paper;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);23.92;4;0;117.208
104;11/13/2015;11/17/2015;Standard Class;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;Technology;Accessories;Logitech K350 2.4Ghz Wireless Keyboard;238.896;6;0.2;-268.758
105;11/13/2015;11/17/2015;Standard Class;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;Furniture;Furnishings;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;102.36;3;0.2;-38.385
106;11/13/2015;11/17/2015;Standard Class;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;Office Supplies;Binders;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";36.882;3;0.7;-258.174
107;11/23/2017;11/28/2017;Standard Class;Janet Martin;Consumer;United States;Charlotte;North Carolina;28205;South;Technology;Accessories;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;74.112;8;0.2;176.016
108;11/23/2017;11/28/2017;Standard Class;Janet Martin;Consumer;United States;Charlotte;North Carolina;28205;South;Technology;Phones;Speck Products Candyshell Flip Case;27.992;1;0.2;20.994
109;11/23/2017;11/28/2017;Standard Class;Janet Martin;Consumer;United States;Charlotte;North Carolina;28205;South;Office Supplies;Art;Newell Chalk Holder;3.304;1;0.2;10.738
110;10/15/2015;10/20/2015;Standard Class;Pete Armstrong;Home Office;United States;Orland Park;Illinois;60462;Central;Technology;Accessories;Logitech Gaming G510s - Keyboard;339.96;5;0.2;67.992
111;12/25/2017;12/30/2017;Standard Class;Cynthia Voltz;Corporate;United States;New York City;New York;10035;East;Furniture;Furnishings;Magnifier Swing Arm Lamp;41.96;2;0;109.096
112;11/3/2016;11/10/2016;Standard Class;Clay Ludtke;Consumer;United States;Urbandale;Iowa;50322;Central;Office Supplies;Art;Hunt PowerHouse Electric Pencil Sharpener, Blue;75.96;2;0;22.788
113;11/3/2016;11/10/2016;Standard Class;Clay Ludtke;Consumer;United States;Urbandale;Iowa;50322;Central;Office Supplies;Binders;"Avery Durable Plastic 1"" Binders";27.24;6;0;133.476
114;8/25/2014;8/27/2014;Second Class;Ryan Crowe;Consumer;United States;Columbus;Ohio;43229;East;Office Supplies;Fasteners;OIC Colored Binder Clips, Assorted Sizes;40.096;14;0.2;145.348
115;8/25/2014;8/27/2014;Second Class;Ryan Crowe;Consumer;United States;Columbus;Ohio;43229;East;Office Supplies;Envelopes;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;4.72;2;0.2;1.652
116;8/25/2014;8/27/2014;Second Class;Ryan Crowe;Consumer;United States;Columbus;Ohio;43229;East;Office Supplies;Paper;Xerox 1921;23.976;3;0.2;74.925
117;8/25/2014;8/27/2014;Second Class;Ryan Crowe;Consumer;United States;Columbus;Ohio;43229;East;Office Supplies;Envelopes;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;130.464;6;0.2;440.316
118;3/2/2015;3/6/2015;Standard Class;Dave Kipp;Consumer;United States;Seattle;Washington;98103;West;Furniture;Tables;Hon Racetrack Conference Tables;787.53;3;0;1.653.813
119;4/5/2015;4/10/2015;Standard Class;Greg Guthrie;Corporate;United States;Bristol;Tennessee;37620;South;Office Supplies;Binders;GBC DocuBind 300 Electric Binding Machine;157.794;1;0.7;-1.157.156
120;6/12/2016;6/15/2016;First Class;Steven Cartwright;Consumer;United States;Wilmington;Delaware;19805;East;Furniture;Furnishings;Artistic Insta-Plaque;47.04;3;0;183.456
121;6/12/2016;6/15/2016;First Class;Steven Cartwright;Consumer;United States;Wilmington;Delaware;19805;East;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;30.84;4;0;13.878
122;6/12/2016;6/15/2016;First Class;Steven Cartwright;Consumer;United States;Wilmington;Delaware;19805;East;Office Supplies;Storage;Companion Letter/Legal File, Black;226.56;6;0;634.368
123;6/12/2016;6/15/2016;First Class;Steven Cartwright;Consumer;United States;Wilmington;Delaware;19805;East;Office Supplies;Envelopes;Globe Weis Peel & Seel First Class Envelopes;115.02;9;0;51.759
124;6/12/2016;6/15/2016;First Class;Steven Cartwright;Consumer;United States;Wilmington;Delaware;19805;East;Technology;Phones;KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;68.04;7;0;197.316
125;12/26/2014;12/28/2014;Second Class;Alan Dominguez;Home Office;United States;Houston;Texas;77041;Central;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;600.558;3;0.3;-85.794
126;9/20/2014;9/25/2014;Standard Class;Philip Fox;Consumer;United States;Bloomington;Illinois;61701;Central;Furniture;Tables;Bevis 44 x 96 Conference Tables;617.7;6;0.5;-407.682
127;11/5/2017;11/12/2017;Standard Class;Troy Staebel;Consumer;United States;Phoenix;Arizona;85023;West;Office Supplies;Binders;Avery Durable Slant Ring Binders, No Labels;2.388;2;0.7;-18.308
128;11/5/2017;11/12/2017;Standard Class;Troy Staebel;Consumer;United States;Phoenix;Arizona;85023;West;Office Supplies;Storage;Trav-L-File Heavy-Duty Shuttle II, Black;243.992;7;0.2;30.499
129;11/6/2016;11/10/2016;Second Class;Lindsay Shagiari;Home Office;United States;Los Angeles;California;90004;West;Furniture;Chairs;Global Task Chair, Black;81.424;2;0.2;-91.602
130;11/6/2016;11/10/2016;Second Class;Lindsay Shagiari;Home Office;United States;Los Angeles;California;90004;West;Furniture;Furnishings;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;238.56;3;0;262.416
131;2/2/2017;2/5/2017;First Class;Dorothy Wardle;Corporate;United States;Columbus;Ohio;43229;East;Technology;Phones;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;59.97;5;0.4;-11.994
132;2/2/2017;2/5/2017;First Class;Dorothy Wardle;Corporate;United States;Columbus;Ohio;43229;East;Office Supplies;Paper;Xerox 1916;78.304;2;0.2;29.364
133;2/2/2017;2/5/2017;First Class;Dorothy Wardle;Corporate;United States;Columbus;Ohio;43229;East;Office Supplies;Fasteners;Staples;21.456;9;0.2;69.732
134;10/13/2016;10/19/2016;Standard Class;Lena Creighton;Consumer;United States;Roseville;California;95661;West;Office Supplies;Paper;Xerox 195;20.04;3;0;96.192
135;10/13/2016;10/19/2016;Standard Class;Lena Creighton;Consumer;United States;Roseville;California;95661;West;Office Supplies;Paper;Xerox 1880;35.44;1;0;166.568
136;10/13/2016;10/19/2016;Standard Class;Lena Creighton;Consumer;United States;Roseville;California;95661;West;Office Supplies;Art;Sanford Colorific Colored Pencils, 12/Box;11.52;4;0;3.456
137;10/13/2016;10/19/2016;Standard Class;Lena Creighton;Consumer;United States;Roseville;California;95661;West;Office Supplies;Fasteners;Ideal Clamps;4.02;2;0;19.698
138;10/13/2016;10/19/2016;Standard Class;Lena Creighton;Consumer;United States;Roseville;California;95661;West;Office Supplies;Binders;GBC Wire Binding Strips;76.176;3;0.2;266.616
